"scenario_id","rep","n","alpha","kappa","nu","fitted_model","neighb","parameter","estimate","true_value","bootstrap_se","ci_lower","ci_upper","covered","fit_converged","bootstrap_success","fit_elapsed_seconds","bootstrap_elapsed_seconds"
"S0",1,800,0.06,1,1,"clayton",10,"mean",0.0577130713160731,0.2,0.0743852116506079,-0.0880792645015076,0.203505407133654,TRUE,TRUE,50,28.71,1889.4
"S0",1,800,0.06,1,1,"clayton",10,"mean1",-0.104073820761852,-0.2,0.0888512545535101,-0.278219079667933,0.070071438144228,TRUE,TRUE,50,28.71,1889.4
"S0",1,800,0.06,1,1,"clayton",10,"scale",0.0521506715864782,0.06,0.00740898637175891,0.0376293251358826,0.0666720180370737,TRUE,TRUE,50,28.71,1889.4
"S0",1,800,0.06,1,1,"clayton",10,"shape",0.982942968509709,1,0.0281714776398817,0.927727886944265,1.03815805007515,TRUE,TRUE,50,28.71,1889.4
"S0",2,800,0.06,1,1,"clayton",10,"mean",0.190166286408131,0.2,0.083104131262335,0.0272851821674652,0.353047390648797,TRUE,TRUE,50,44.5599999999999,2076.61
"S0",2,800,0.06,1,1,"clayton",10,"mean1",-0.117837260179224,-0.2,0.0903141926470231,-0.294849825060201,0.0591753047017535,TRUE,TRUE,50,44.5599999999999,2076.61
"S0",2,800,0.06,1,1,"clayton",10,"scale",0.0655573257151886,0.06,0.00916200932831945,0.0476001174056625,0.0835145340247147,TRUE,TRUE,50,44.5599999999999,2076.61
"S0",2,800,0.06,1,1,"clayton",10,"shape",0.959236166523841,1,0.0296117291408364,0.901198243887846,1.01727408915984,TRUE,TRUE,50,44.5599999999999,2076.61
"S0",3,800,0.06,1,1,"clayton",10,"mean",0.179084587449886,0.2,0.0784388681389876,0.0253472309093838,0.332821943990388,TRUE,TRUE,50,36.3499999999999,1836.26
"S0",3,800,0.06,1,1,"clayton",10,"mean1",-0.251465493217479,-0.2,0.0915117705112604,-0.430825267581044,-0.072105718853914,TRUE,TRUE,50,36.3499999999999,1836.26
"S0",3,800,0.06,1,1,"clayton",10,"scale",0.054250706583242,0.06,0.00767776366553795,0.0392025663169774,0.0692988468495066,TRUE,TRUE,50,36.3499999999999,1836.26
"S0",3,800,0.06,1,1,"clayton",10,"shape",0.954077115180506,1,0.0277327993434399,0.899721827276888,1.00843240308412,TRUE,TRUE,50,36.3499999999999,1836.26
"S0",4,800,0.06,1,1,"clayton",10,"mean",0.108266635350386,0.2,0.0821140214014799,-0.0526738892222662,0.269207159923037,TRUE,TRUE,50,48.1899999999996,1927.44
"S0",4,800,0.06,1,1,"clayton",10,"mean1",-0.212097510018106,-0.2,0.08407585357048,-0.37688315498571,-0.0473118650505019,TRUE,TRUE,50,48.1899999999996,1927.44
"S0",4,800,0.06,1,1,"clayton",10,"scale",0.0686280755003359,0.06,0.00964087157910402,0.0497323144257163,0.0875238365749556,TRUE,TRUE,50,48.1899999999996,1927.44
"S0",4,800,0.06,1,1,"clayton",10,"shape",0.989857547897595,1,0.0317251301266551,0.927677435444504,1.05203766035069,TRUE,TRUE,50,48.1899999999996,1927.44
"S0",5,800,0.06,1,1,"clayton",10,"mean",0.122586019263114,0.2,0.0731780401208036,-0.0208403038328885,0.266012342359116,TRUE,TRUE,50,47.6700000000001,1684.61
"S0",5,800,0.06,1,1,"clayton",10,"mean1",-0.155144861776281,-0.2,0.0850459724982259,-0.321831904902988,0.0115421813504254,TRUE,TRUE,50,47.6700000000001,1684.61
"S0",5,800,0.06,1,1,"clayton",10,"scale",0.0509806219660443,0.06,0.00710368178378748,0.0370576615121876,0.064903582419901,TRUE,TRUE,50,47.6700000000001,1684.61
"S0",5,800,0.06,1,1,"clayton",10,"shape",1.00231892638517,1,0.030337327776571,0.942858856555908,1.06177899621444,TRUE,TRUE,50,47.6700000000001,1684.61
"S0",6,800,0.06,1,1,"clayton",10,"mean",0.194504633826456,0.2,0.0778295461838275,0.0419615263730577,0.347047741279855,TRUE,TRUE,50,44.3199999999997,1788.57
"S0",6,800,0.06,1,1,"clayton",10,"mean1",-0.283964941457486,-0.2,0.0844106289743485,-0.449406734159583,-0.11852314875539,TRUE,TRUE,50,44.3199999999997,1788.57
"S0",6,800,0.06,1,1,"clayton",10,"scale",0.0610036112474706,0.06,0.00834077135789604,0.0446559997827111,0.07735122271223,TRUE,TRUE,50,44.3199999999997,1788.57
"S0",6,800,0.06,1,1,"clayton",10,"shape",1.01519033864528,1,0.0305443137127719,0.955324583835753,1.0750560934548,TRUE,TRUE,50,44.3199999999997,1788.57
"S0",7,800,0.06,1,1,"clayton",10,"mean",0.315951857996105,0.2,0.0858922509122544,0.147606139657009,0.484297576335201,TRUE,TRUE,50,52.4700000000012,2037.11
"S0",7,800,0.06,1,1,"clayton",10,"mean1",-0.300012389879493,-0.2,0.0807068141809321,-0.458194838981086,-0.1418299407779,TRUE,TRUE,50,52.4700000000012,2037.11
"S0",7,800,0.06,1,1,"clayton",10,"scale",0.0779739623233665,0.06,0.0110763703606702,0.0562646753370259,0.0996832493097071,TRUE,TRUE,50,52.4700000000012,2037.11
"S0",7,800,0.06,1,1,"clayton",10,"shape",1.00731373791737,1,0.030649689250886,0.947241450848287,1.06738602498645,TRUE,TRUE,50,52.4700000000012,2037.11
"S0",8,800,0.06,1,1,"clayton",10,"mean",0.354080376310817,0.2,0.0824817323748772,0.192419151473586,0.515741601148048,TRUE,TRUE,50,46.5200000000004,1884.87
"S0",8,800,0.06,1,1,"clayton",10,"mean1",-0.31089377510102,-0.2,0.0840750924064434,-0.475677928214526,-0.146109621987514,TRUE,TRUE,50,46.5200000000004,1884.87
"S0",8,800,0.06,1,1,"clayton",10,"scale",0.0723503670046222,0.06,0.0100824512241231,0.0525891257294592,0.0921116082797852,TRUE,TRUE,50,46.5200000000004,1884.87
"S0",8,800,0.06,1,1,"clayton",10,"shape",0.983575048289807,1,0.0283847457840514,0.927941968842742,1.03920812773687,TRUE,TRUE,50,46.5200000000004,1884.87
"S0",9,800,0.06,1,1,"clayton",10,"mean",0.263998965743155,0.2,0.0762698668896504,0.114512773533776,0.413485157952534,TRUE,TRUE,50,51.6999999999989,1628.64
"S0",9,800,0.06,1,1,"clayton",10,"mean1",-0.110629434527038,-0.2,0.096061019156577,-0.298905572392141,0.0776467033380654,TRUE,TRUE,50,51.6999999999989,1628.64
"S0",9,800,0.06,1,1,"clayton",10,"scale",0.050609670462593,0.06,0.0069274443890421,0.0370321289551664,0.0641872119700196,TRUE,TRUE,50,51.6999999999989,1628.64
"S0",9,800,0.06,1,1,"clayton",10,"shape",1.01632701827452,1,0.0281666348605279,0.961121428382192,1.07153260816684,TRUE,TRUE,50,51.6999999999989,1628.64
"S0",10,800,0.06,1,1,"clayton",10,"mean",0.280305992642888,0.2,0.0747546248656513,0.13378962022841,0.426822365057367,TRUE,TRUE,50,27.7400000000016,1702.95
"S0",10,800,0.06,1,1,"clayton",10,"mean1",-0.154162341960981,-0.2,0.0952403601102812,-0.340830017651758,0.032505333729795,TRUE,TRUE,50,27.7400000000016,1702.95
"S0",10,800,0.06,1,1,"clayton",10,"scale",0.0511432184456678,0.06,0.00691778343625766,0.0375846120577551,0.0647018248335805,TRUE,TRUE,50,27.7400000000016,1702.95
"S0",10,800,0.06,1,1,"clayton",10,"shape",1.03338974325723,1,0.0287634367600769,0.97701444313588,1.08976504337857,TRUE,TRUE,50,27.7400000000016,1702.95
"S0",11,800,0.06,1,1,"clayton",10,"mean",0.138321161671634,0.2,0.0768914479185411,-0.0123833069678434,0.289025630311112,TRUE,TRUE,50,25.7700000000004,1762.39
"S0",11,800,0.06,1,1,"clayton",10,"mean1",-0.247465614146048,-0.2,0.096248413620657,-0.43610903841165,-0.0588221898804455,TRUE,TRUE,50,25.7700000000004,1762.39
"S0",11,800,0.06,1,1,"clayton",10,"scale",0.0557930304986901,0.06,0.0074891277565719,0.0411146098201899,0.0704714511771903,TRUE,TRUE,50,25.7700000000004,1762.39
"S0",11,800,0.06,1,1,"clayton",10,"shape",1.02303259588966,1,0.0260649159314314,0.971946299403993,1.07411889237533,TRUE,TRUE,50,25.7700000000004,1762.39
"S0",12,800,0.06,1,1,"clayton",10,"mean",0.32100116752839,0.2,0.0712514138317801,0.181350962570542,0.460651372486238,TRUE,TRUE,50,41.6699999999983,1781.41
"S0",12,800,0.06,1,1,"clayton",10,"mean1",-0.397589168347591,-0.2,0.0919244397539798,-0.577757759564414,-0.217420577130769,FALSE,TRUE,50,41.6699999999983,1781.41
"S0",12,800,0.06,1,1,"clayton",10,"scale",0.0541375229697294,0.06,0.00741804631078923,0.0395984193649323,0.0686766265745265,TRUE,TRUE,50,41.6699999999983,1781.41
"S0",12,800,0.06,1,1,"clayton",10,"shape",1.05185622463592,1,0.0268925939808761,0.999147708982547,1.1045647402893,TRUE,TRUE,50,41.6699999999983,1781.41
"S0",13,800,0.06,1,1,"clayton",10,"mean",0.253324885462723,0.2,0.0769544985026923,0.102496839949105,0.404152930976342,TRUE,TRUE,50,42.1100000000006,1852.09
"S0",13,800,0.06,1,1,"clayton",10,"mean1",-0.24547819927877,-0.2,0.0906967198017084,-0.423240503606039,-0.067715894951501,TRUE,TRUE,50,42.1100000000006,1852.09
"S0",13,800,0.06,1,1,"clayton",10,"scale",0.0655611405126599,0.06,0.00853978937726654,0.0488234608976597,0.08229882012766,TRUE,TRUE,50,42.1100000000006,1852.09
"S0",13,800,0.06,1,1,"clayton",10,"shape",1.02994629420335,1,0.0276222933302838,0.975807594105598,1.08408499430111,TRUE,TRUE,50,42.1100000000006,1852.09
"S0",14,800,0.06,1,1,"clayton",10,"mean",0.282245766965846,0.2,0.079006935624658,0.127395018612642,0.43709651531905,TRUE,TRUE,50,32.5900000000001,1666.55
"S0",14,800,0.06,1,1,"clayton",10,"mean1",-0.31723159984847,-0.2,0.0973634005954929,-0.508060358427982,-0.126402841268958,TRUE,TRUE,50,32.5900000000001,1666.55
"S0",14,800,0.06,1,1,"clayton",10,"scale",0.0598160612881041,0.06,0.00789459794062372,0.0443429336520575,0.0752891889241507,TRUE,TRUE,50,32.5900000000001,1666.55
"S0",14,800,0.06,1,1,"clayton",10,"shape",0.974361842867408,1,0.0273937630628207,0.920671053863255,1.02805263187156,TRUE,TRUE,50,32.5900000000001,1666.55
"S0",15,800,0.06,1,1,"clayton",10,"mean",0.220327698201102,0.2,0.0808121132830032,0.0619388666518444,0.378716529750359,TRUE,TRUE,50,27.4799999999996,1931.2
"S0",15,800,0.06,1,1,"clayton",10,"mean1",-0.344449448006358,-0.2,0.0992675237085524,-0.539010219309596,-0.149888676703119,TRUE,TRUE,50,27.4799999999996,1931.2
"S0",15,800,0.06,1,1,"clayton",10,"scale",0.0611976633342651,0.06,0.00806812862525385,0.0453844218061309,0.0770109048623993,TRUE,TRUE,50,27.4799999999996,1931.2
"S0",15,800,0.06,1,1,"clayton",10,"shape",0.951160111784987,1,0.0271919773284869,0.897864815552723,1.00445540801725,TRUE,TRUE,50,27.4799999999996,1931.2
"S0",16,800,0.06,1,1,"clayton",10,"mean",0.262562605177767,0.2,0.0776551573364202,0.110361293584592,0.414763916770941,TRUE,TRUE,50,56.9099999999999,1901.25
"S0",16,800,0.06,1,1,"clayton",10,"mean1",-0.321860850637477,-0.2,0.100215081465907,-0.518278801018402,-0.125442900256553,TRUE,TRUE,50,56.9099999999999,1901.25
"S0",16,800,0.06,1,1,"clayton",10,"scale",0.0583855858504579,0.06,0.00781579649123276,0.0430669062171472,0.0737042654837686,TRUE,TRUE,50,56.9099999999999,1901.25
"S0",16,800,0.06,1,1,"clayton",10,"shape",0.998804875046076,1,0.0291088398851693,0.941752597239401,1.05585715285275,TRUE,TRUE,50,56.9099999999999,1901.25
"S0",17,800,0.06,1,1,"clayton",10,"mean",0.104977898786573,0.2,0.0708272067041244,-0.0338408754790843,0.243796673052231,TRUE,TRUE,50,41.6100000000006,1717.97
"S0",17,800,0.06,1,1,"clayton",10,"mean1",0.0100039423445737,-0.2,0.0959835589909508,-0.178120376385666,0.198128261074813,FALSE,TRUE,50,41.6100000000006,1717.97
"S0",17,800,0.06,1,1,"clayton",10,"scale",0.05291773200316,0.06,0.00747844275117095,0.0382602535504203,0.0675752104558997,TRUE,TRUE,50,41.6100000000006,1717.97
"S0",17,800,0.06,1,1,"clayton",10,"shape",1.04811951207166,1,0.0311822612522605,0.98700340306071,1.10923562108261,TRUE,TRUE,50,41.6100000000006,1717.97
"S0",18,800,0.06,1,1,"clayton",10,"mean",0.236361285697804,0.2,0.0822796882403465,0.0750960600875412,0.397626511308067,TRUE,TRUE,50,57.0699999999997,1973.61
"S0",18,800,0.06,1,1,"clayton",10,"mean1",-0.334809112879279,-0.2,0.10257683397524,-0.535856013118893,-0.133762212639664,TRUE,TRUE,50,57.0699999999997,1973.61
"S0",18,800,0.06,1,1,"clayton",10,"scale",0.0642114130489897,0.06,0.00820542167421488,0.0481290820895642,0.0802937440084152,TRUE,TRUE,50,57.0699999999997,1973.61
"S0",18,800,0.06,1,1,"clayton",10,"shape",0.974145042894895,1,0.0288919045081866,0.917517950614079,1.03077213517571,TRUE,TRUE,50,57.0699999999997,1973.61
"S0",19,800,0.06,1,1,"clayton",10,"mean",0.102551747215495,0.2,0.0800199157869114,-0.054284405772779,0.25938790020377,TRUE,TRUE,50,30.7699999999968,1854.31
"S0",19,800,0.06,1,1,"clayton",10,"mean1",-0.0786873974406917,-0.2,0.101582110505995,-0.277784675506009,0.120409880624626,TRUE,TRUE,50,30.7699999999968,1854.31
"S0",19,800,0.06,1,1,"clayton",10,"scale",0.0617451041651536,0.06,0.00818279408197401,0.0457071224715771,0.0777830858587302,TRUE,TRUE,50,30.7699999999968,1854.31
"S0",19,800,0.06,1,1,"clayton",10,"shape",1.00676668367127,1,0.0297848412447785,0.948389467546259,1.06514389979628,TRUE,TRUE,50,30.7699999999968,1854.31
"S0",20,800,0.06,1,1,"clayton",10,"mean",0.161812069245709,0.2,0.0772491173045274,0.0104065814913255,0.313217557000092,TRUE,TRUE,50,38.3000000000029,1773.78
"S0",20,800,0.06,1,1,"clayton",10,"mean1",-0.0987985627965412,-0.2,0.112242845935433,-0.318790498352267,0.121193372759185,TRUE,TRUE,50,38.3000000000029,1773.78
"S0",20,800,0.06,1,1,"clayton",10,"scale",0.0540397912636724,0.06,0.00753188652887898,0.0392775649314272,0.0688020175959176,TRUE,TRUE,50,38.3000000000029,1773.78
"S0",20,800,0.06,1,1,"clayton",10,"shape",0.963555270300953,1,0.0281502578221473,0.908381778814027,1.01872876178788,TRUE,TRUE,50,38.3000000000029,1773.78
"S0",21,800,0.06,1,1,"clayton",10,"mean",0.214315838312519,0.2,0.0807179659741127,0.0561115320979284,0.372520144527109,TRUE,TRUE,50,35.1800000000003,1875.4
"S0",21,800,0.06,1,1,"clayton",10,"mean1",-0.289484396179665,-0.2,0.107758317185621,-0.500686816898126,-0.0782819754612039,TRUE,TRUE,50,35.1800000000003,1875.4
"S0",21,800,0.06,1,1,"clayton",10,"scale",0.059238465963856,0.06,0.0079633155243041,0.0436306543386913,0.0748462775890207,TRUE,TRUE,50,35.1800000000003,1875.4
"S0",21,800,0.06,1,1,"clayton",10,"shape",0.978959480596593,1,0.0271930280782806,0.925662124932576,1.03225683626061,TRUE,TRUE,50,35.1800000000003,1875.4
"S0",22,800,0.06,1,1,"clayton",10,"mean",0.172050926067129,0.2,0.0807547075084334,0.0137746077685335,0.330327244365725,TRUE,TRUE,50,41.6700000000055,1899.96999999999
"S0",22,800,0.06,1,1,"clayton",10,"mean1",-0.0806631906071287,-0.2,0.101747124058641,-0.280083889292593,0.118757508078336,TRUE,TRUE,50,41.6700000000055,1899.96999999999
"S0",22,800,0.06,1,1,"clayton",10,"scale",0.064202180005547,0.06,0.00828583765140037,0.0479622366270563,0.0804421233840377,TRUE,TRUE,50,41.6700000000055,1899.96999999999
"S0",22,800,0.06,1,1,"clayton",10,"shape",1.00582954679481,1,0.0304621609928564,0.946124808357547,1.06553428523207,TRUE,TRUE,50,41.6700000000055,1899.96999999999
"S0",23,800,0.06,1,1,"clayton",10,"mean",0.220515943790804,0.2,0.0858873142710814,0.0521799010906114,0.388851986490996,TRUE,TRUE,50,60.3300000000017,2009.33
"S0",23,800,0.06,1,1,"clayton",10,"mean1",-0.218377253105751,-0.2,0.0865644987754604,-0.388040553045415,-0.0487139531660868,TRUE,TRUE,50,60.3300000000017,2009.33
"S0",23,800,0.06,1,1,"clayton",10,"scale",0.0794083587731265,0.06,0.0106739795114925,0.0584877433588827,0.10032897418737,TRUE,TRUE,50,60.3300000000017,2009.33
"S0",23,800,0.06,1,1,"clayton",10,"shape",1.00804895163217,1,0.0293982141106264,0.950429510765541,1.06566839249879,TRUE,TRUE,50,60.3300000000017,2009.33
"S0",24,800,0.06,1,1,"clayton",10,"mean",0.257475478270892,0.2,0.0776202880639636,0.105342509195899,0.409608447345885,TRUE,TRUE,50,27.5400000000009,1939.32
"S0",24,800,0.06,1,1,"clayton",10,"mean1",-0.168241330755047,-0.2,0.093120500249511,-0.350754157466442,0.0142714959563476,TRUE,TRUE,50,27.5400000000009,1939.32
"S0",24,800,0.06,1,1,"clayton",10,"scale",0.0682797371947886,0.06,0.00887989984957532,0.0508754533032983,0.0856840210862789,TRUE,TRUE,50,27.5400000000009,1939.32
"S0",24,800,0.06,1,1,"clayton",10,"shape",1.01382709854992,1,0.0278915492607609,0.959160666525804,1.06849353057404,TRUE,TRUE,50,27.5400000000009,1939.32
"S0",25,800,0.06,1,1,"clayton",10,"mean",0.238720972984145,0.2,0.0807946973993186,0.0803662759396682,0.397075670028621,TRUE,TRUE,50,31.6299999999974,1774.51
"S0",25,800,0.06,1,1,"clayton",10,"mean1",-0.281848645852225,-0.2,0.100274095790824,-0.478382262184559,-0.0853150295198913,TRUE,TRUE,50,31.6299999999974,1774.51
"S0",25,800,0.06,1,1,"clayton",10,"scale",0.0662323369304586,0.06,0.0082664867844705,0.0500303205542201,0.0824343533066971,TRUE,TRUE,50,31.6299999999974,1774.51
"S0",25,800,0.06,1,1,"clayton",10,"shape",0.983383051048505,1,0.0287581234579376,0.927018164807991,1.03974793728902,TRUE,TRUE,50,31.6299999999974,1774.51
"S0",26,800,0.06,1,1,"clayton",10,"mean",0.152002841812322,0.2,0.0767450552556143,0.00158529751978137,0.302420386104862,TRUE,TRUE,50,35.8299999999945,1895.51
"S0",26,800,0.06,1,1,"clayton",10,"mean1",-0.0513762337986961,-0.2,0.0966283273320741,-0.240764275255909,0.138011807658516,TRUE,TRUE,50,35.8299999999945,1895.51
"S0",26,800,0.06,1,1,"clayton",10,"scale",0.0647931447938543,0.06,0.00814138603189352,0.0488363213871056,0.0807499682006031,TRUE,TRUE,50,35.8299999999945,1895.51
"S0",26,800,0.06,1,1,"clayton",10,"shape",1.03988323109638,1,0.0307746982092126,0.979565930971233,1.10020053122153,TRUE,TRUE,50,35.8299999999945,1895.51
"S0",27,800,0.06,1,1,"clayton",10,"mean",0.274321326720828,0.2,0.084451053753043,0.108800302908408,0.439842350533249,TRUE,TRUE,50,32.6700000000055,1893.21999999999
"S0",27,800,0.06,1,1,"clayton",10,"mean1",-0.222389630822759,-0.2,0.0866569979293404,-0.392234225772628,-0.0525450358728898,TRUE,TRUE,50,32.6700000000055,1893.21999999999
"S0",27,800,0.06,1,1,"clayton",10,"scale",0.0747777749143577,0.06,0.0098661954007237,0.0554403872645045,0.0941151625642109,TRUE,TRUE,50,32.6700000000055,1893.21999999999
"S0",27,800,0.06,1,1,"clayton",10,"shape",1.03769054999599,1,0.0278300246363264,0.983144704019924,1.09223639597205,TRUE,TRUE,50,32.6700000000055,1893.21999999999
"S0",28,800,0.06,1,1,"clayton",10,"mean",0.18424117148408,0.2,0.0832482103349408,0.0210776774501806,0.347404665517979,TRUE,TRUE,50,67.2699999999968,1950.06
"S0",28,800,0.06,1,1,"clayton",10,"mean1",-0.164921286007388,-0.2,0.100203840248245,-0.361317204006553,0.0314746319917769,TRUE,TRUE,50,67.2699999999968,1950.06
"S0",28,800,0.06,1,1,"clayton",10,"scale",0.0669313726950947,0.06,0.00849613902951351,0.0502792461896031,0.0835834992005862,TRUE,TRUE,50,67.2699999999968,1950.06
"S0",28,800,0.06,1,1,"clayton",10,"shape",0.955264245182743,1,0.0271981095147002,0.901956930086354,1.00857156027913,TRUE,TRUE,50,67.2699999999968,1950.06
"S0",29,800,0.06,1,1,"clayton",10,"mean",0.145372045706331,0.2,0.0796728971184811,-0.0107839631898569,0.301528054602519,TRUE,TRUE,50,42.0699999999997,1888.54
"S0",29,800,0.06,1,1,"clayton",10,"mean1",-0.173134601957973,-0.2,0.118465900092463,-0.405323499535321,0.0590542956193742,TRUE,TRUE,50,42.0699999999997,1888.54
"S0",29,800,0.06,1,1,"clayton",10,"scale",0.0553812946436792,0.06,0.00767014185052736,0.0403480928603322,0.0704144964270262,TRUE,TRUE,50,42.0699999999997,1888.54
"S0",29,800,0.06,1,1,"clayton",10,"shape",0.947446102370125,1,0.0278634661557426,0.892834712220419,1.00205749251983,TRUE,TRUE,50,42.0699999999997,1888.54
"S0",30,800,0.06,1,1,"clayton",10,"mean",0.205897686156629,0.2,0.0770153005230527,0.054950470872917,0.356844901440341,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",30,800,0.06,1,1,"clayton",10,"mean1",-0.216863415082936,-0.2,0.106492347471981,-0.425584580757143,-0.00814224940872901,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",30,800,0.06,1,1,"clayton",10,"scale",0.0583032956007784,0.06,0.00780954252036398,0.0429968735251308,0.0736097176764259,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",30,800,0.06,1,1,"clayton",10,"shape",1.01672432688356,1,0.0293154770631714,0.959267047650134,1.07418160611699,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",31,800,0.06,1,1,"clayton",10,"mean",0.136320059038577,0.2,0.0863271278169985,-0.032878002371526,0.30551812044868,TRUE,TRUE,50,47.4099999999962,2125.87
"S0",31,800,0.06,1,1,"clayton",10,"mean1",-0.197823021329946,-0.2,0.106682944524703,-0.406917750363047,0.011271707703156,TRUE,TRUE,50,47.4099999999962,2125.87
