"scenario_id","neighb","parameter","n_reps","n_success","success_rate","true_value","mean_estimate","bias","mse","empirical_sd","average_bootstrap_se","se_sd_ratio","coverage_95","mean_bootstrap_success"
"S0",2,"mean",100,100,1,0.2,0.187499215966968,-0.0125007840330319,0.005023433305727,0.0701165242580289,0.0788152891847883,1.12406155351837,0.99,50
"S0",2,"mean1",100,100,1,-0.2,-0.194892023421372,0.00510797657862792,0.00916926327266749,0.0961016499292858,0.0965266134120532,1.00442202067374,0.95,50
"S0",2,"scale",100,100,1,0.06,0.0596978649938745,-0.000302135006125527,6.43385834180652e-05,0.00805582152612297,0.00738805251848363,0.917107273854823,0.96,50
"S0",2,"shape",100,100,1,1,1.00760394410012,0.00760394410012135,0.00120014386690457,0.0339685520193266,0.0328154012662403,0.966052401867757,0.94,50
"S0",5,"mean",100,100,1,0.2,0.186320348925452,-0.0136796510745476,0.00549662219823854,0.0732333295038493,0.0793629204234374,1.08369947073437,0.98,50
"S0",5,"mean1",100,100,1,-0.2,-0.196329943031305,0.00367005696869454,0.0103680514138802,0.102270102347008,0.106846258635402,1.04474578770702,0.95,50
"S0",5,"scale",100,100,1,0.06,0.0592173309161497,-0.000782669083850302,5.40537494966648e-05,0.0073471755448415,0.00738669347828953,1.0053786564928,0.96,50
"S0",5,"shape",100,100,1,1,1.00606111279284,0.00606111279283665,0.00129347884888152,0.0356291470822999,0.0291638124253062,0.818538045773047,0.9,50
"S0",10,"mean",100,100,1,0.2,0.186809144583547,-0.013190855416453,0.00607388571302808,0.0771976804383455,0.0746109380497929,0.966491967454663,0.96,50
"S0",10,"mean1",100,100,1,-0.2,-0.195314088310815,0.00468591168918533,0.0115051731052939,0.107699616577987,0.10571290357156,0.981553202605982,0.94,50
"S0",10,"scale",100,100,1,0.06,0.0595877932659756,-0.000412206734024408,6.11324248287175e-05,0.00784718378597385,0.00821200547075171,1.04649077869566,0.96,50
"S0",10,"shape",100,100,1,1,1.00592168050902,0.00592168050902105,0.00121083777453329,0.0344622685559526,0.0305676879633651,0.886990010937201,0.93,50
