"scenario_id","scenario_group","fitted_model","fitted_model_label","n_reps","selected_CLAIC_n","selected_CLAIC_pct","selected_CLBIC_n","selected_CLBIC_pct","selected_logLik_n","selected_logLik_pct","mean_delta_CLAIC_vs_Clayton","mean_delta_CLBIC_vs_Clayton","mean_delta_logLik_vs_Clayton"
"S0","baseline","direct","Chi-square transformation",1000,35,0.035,35,0.035,35,0.035,38.9485693128212,38.9485693128211,-19.4742846564104
"S0","baseline","gaussian","Gaussian copula",1000,5,0.005,5,0.005,5,0.005,115.547625420001,115.547625420001,-57.7738127100002
"S0","baseline","clayton","Clayton copula",1000,960,0.96,960,0.96,960,0.96,0,0,0
"S1","sample_size","direct","Chi-square transformation",1000,144,0.144,144,0.144,144,0.144,13.3585953805759,13.3585953805763,-6.67929769028792
"S1","sample_size","gaussian","Gaussian copula",1000,50,0.05,50,0.05,50,0.05,32.3171555252201,32.3171555252203,-16.15857776261
"S1","sample_size","clayton","Clayton copula",1000,806,0.806,806,0.806,806,0.806,0,0,0
"S2","sample_size","direct","Chi-square transformation",1000,1,0.001,1,0.001,1,0.001,114.876339488606,114.876339488605,-57.4381697443017
"S2","sample_size","gaussian","Gaussian copula",1000,0,0,0,0,0,0,259.655746013409,259.65574601341,-129.827873006704
"S2","sample_size","clayton","Clayton copula",1000,999,0.999,999,0.999,999,0.999,0,0,0
"S3","spatial_dependence","direct","Chi-square transformation",1000,16,0.016,16,0.016,16,0.016,50.8192988116305,50.8192988116305,-25.4096494058151
"S3","spatial_dependence","gaussian","Gaussian copula",1000,3,0.003,3,0.003,3,0.003,127.315963794377,127.315963794377,-63.6579818971886
"S3","spatial_dependence","clayton","Clayton copula",1000,981,0.981,981,0.981,981,0.981,0,0,0
"S4","spatial_dependence","direct","Chi-square transformation",1000,68,0.068,68,0.068,68,0.068,82.7363490231234,82.7363490231233,-41.3681745115616
"S4","spatial_dependence","gaussian","Gaussian copula",1000,6,0.006,6,0.006,6,0.006,2000000000139.22,2000000000139.22,-1000000000069.61
"S4","spatial_dependence","clayton","Clayton copula",1000,926,0.926,926,0.926,926,0.926,0,0,0
"S5","marginal_skewness","direct","Chi-square transformation",1000,45,0.045,45,0.045,45,0.045,41.1345019276246,41.1345019276248,-20.5672509638122
"S5","marginal_skewness","gaussian","Gaussian copula",1000,4,0.004,4,0.004,4,0.004,77.1428757448184,77.1428757448185,-38.5714378724091
"S5","marginal_skewness","clayton","Clayton copula",1000,951,0.951,951,0.951,951,0.951,0,0,0
"S6","marginal_skewness","direct","Chi-square transformation",1000,143,0.143143143143143,143,0.143143143143143,143,0.143143143143143,38.1841650569976,38.1841650569975,-19.0920825284988
"S6","marginal_skewness","gaussian","Gaussian copula",1000,41,0.041041041041041,41,0.041041041041041,41,0.041041041041041,67.0699817200196,67.0699817200194,-33.5349908600097
"S6","marginal_skewness","clayton","Clayton copula",1000,815,0.815815815815816,815,0.815815815815816,815,0.815815815815816,0,0,0
"S7","clayton_asymmetry","direct","Chi-square transformation",1000,10,0.01,10,0.01,10,0.01,58.5281566748804,58.5281566748805,-29.2640783374402
"S7","clayton_asymmetry","gaussian","Gaussian copula",1000,37,0.037,37,0.037,37,0.037,60.8985968909733,60.8985968909733,-30.4492984454867
"S7","clayton_asymmetry","clayton","Clayton copula",1000,953,0.953,953,0.953,953,0.953,0,0,0
"S8","clayton_asymmetry","direct","Chi-square transformation",1000,0,0,0,0,0,0,101.501881377719,101.501881377719,-50.7509406888596
"S8","clayton_asymmetry","gaussian","Gaussian copula",1000,29,0.029,29,0.029,29,0.029,49.9136995719182,49.9136995719181,-24.9568497859593
"S8","clayton_asymmetry","clayton","Clayton copula",1000,971,0.971,971,0.971,971,0.971,0,0,0
