"scenario_id","scenario_group","fitted_model","fitted_model_label","parameter","true_value","n_reps","n_success","success_rate","mean_estimate","bias","mse","empirical_sd"
"S0","baseline","direct","Chi-square transformation","mean",0.2,1000,990,0.99,0.19777060275184,-0.00222939724815983,0.00646174936871715,0.0803946997650606
"S0","baseline","direct","Chi-square transformation","mean1",-0.2,1000,990,0.99,-0.195345465390518,0.00465453460948226,0.0113333850671027,0.106410328013366
"S0","baseline","direct","Chi-square transformation","scale",0.06,1000,990,0.99,0.0394235133985309,-0.0205764866014691,0.000468107022563677,0.00669032392811445
"S0","baseline","direct","Chi-square transformation","shape",1,1000,990,0.99,0.996696672376118,-0.00330332762388202,0.00110793340357859,0.0331380544551092
"S0","baseline","gaussian","Gaussian copula","mean",0.2,1000,902,0.902,0.195878092879311,-0.0041219071206889,0.00643497483738253,0.0801567707593025
"S0","baseline","gaussian","Gaussian copula","mean1",-0.2,1000,902,0.902,-0.195929003783582,0.00407099621641835,0.011314510604352,0.106350726022726
"S0","baseline","gaussian","Gaussian copula","scale",0.06,1000,902,0.902,0.0138725629207028,-0.0461274370792972,0.00219364539365432,0.0081226897385947
"S0","baseline","gaussian","Gaussian copula","shape",1,1000,902,0.902,1.00506841230656,0.00506841230656041,0.00116766810975568,0.0338119322733293
"S0","baseline","clayton","Clayton copula","mean",0.2,1000,1000,1,0.196204755222283,-0.00379524477771684,0.0060203088438986,0.077536551882668
"S0","baseline","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.195666001319633,0.00433399868036701,0.0103072424380481,0.101482794852811
"S0","baseline","clayton","Clayton copula","scale",0.06,1000,1000,1,0.0597671731919821,-0.000232826808017924,6.25235016969069e-05,0.00790770669660773
"S0","baseline","clayton","Clayton copula","shape",1,1000,1000,1,1.00499990034112,0.00499990034111668,0.00111095835780915,0.0329703867248905
"S1","sample_size","direct","Chi-square transformation","mean",0.2,1000,996,0.996,0.199498943174336,-0.000501056825663558,0.0113592400203696,0.106632101319143
"S1","sample_size","direct","Chi-square transformation","mean1",-0.2,1000,996,0.996,-0.201572384310349,-0.00157238431034949,0.0287725096622527,0.169702539403966
"S1","sample_size","direct","Chi-square transformation","scale",0.06,1000,996,0.996,0.039749575297132,-0.020250424702868,0.000523633329596289,0.0106615080171599
"S1","sample_size","direct","Chi-square transformation","shape",1,1000,996,0.996,1.00285602475092,0.00285602475091621,0.00208236785124113,0.0455663868219532
"S1","sample_size","gaussian","Gaussian copula","mean",0.2,1000,952,0.952,0.197649094633665,-0.00235090536633507,0.011135189200132,0.105552667229084
"S1","sample_size","gaussian","Gaussian copula","mean1",-0.2,1000,952,0.952,-0.200848985520839,-0.000848985520839196,0.0280112434493255,0.167451415131867
"S1","sample_size","gaussian","Gaussian copula","scale",0.06,1000,952,0.952,0.0159145163318264,-0.0440854836681736,0.00200839765672801,0.00805828744533391
"S1","sample_size","gaussian","Gaussian copula","shape",1,1000,952,0.952,1.00724289371684,0.0072428937168407,0.00218329062253072,0.0461851895601538
"S1","sample_size","clayton","Clayton copula","mean",0.2,1000,1000,1,0.199386666047458,-0.000613333952542106,0.0107942331988097,0.103945474562168
"S1","sample_size","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.204833427309773,-0.00483342730977263,0.0267450308147682,0.163549433543567
"S1","sample_size","clayton","Clayton copula","scale",0.06,1000,1000,1,0.0591240706238428,-0.000875929376157194,0.000133279419195973,0.0115171529353262
"S1","sample_size","clayton","Clayton copula","shape",1,1000,1000,1,1.00826660650219,0.0082666065021934,0.00213439593337802,0.0454766673976173
"S2","sample_size","direct","Chi-square transformation","mean",0.2,1000,979,0.979,0.199752820839274,-0.000247179160726245,0.0042211113259253,0.0650028170979252
"S2","sample_size","direct","Chi-square transformation","mean1",-0.2,1000,979,0.979,-0.200462500347423,-0.000462500347423005,0.0050278696583845,0.0709422053795595
"S2","sample_size","direct","Chi-square transformation","scale",0.06,1000,979,0.979,0.0378379666136621,-0.0221620333863379,0.00050432867852417,0.00363131160682385
"S2","sample_size","direct","Chi-square transformation","shape",1,1000,979,0.979,0.99035006434112,-0.00964993565888009,0.000724236563281716,0.0251348486614512
"S2","sample_size","gaussian","Gaussian copula","mean",0.2,1000,778,0.778,0.197633116881469,-0.00236688311853058,0.00411579668318023,0.0641520410677313
"S2","sample_size","gaussian","Gaussian copula","mean1",-0.2,1000,778,0.778,-0.198937446666879,0.00106255333312055,0.00481387690285466,0.0694185990638583
"S2","sample_size","gaussian","Gaussian copula","scale",0.06,1000,778,0.778,0.0148747960112163,-0.0451252039887837,0.00206869881371504,0.00569706034263153
"S2","sample_size","gaussian","Gaussian copula","shape",1,1000,778,0.778,1.00241325264438,0.00241325264437904,0.000683952796317238,0.0260576622300941
"S2","sample_size","clayton","Clayton copula","mean",0.2,1000,1000,1,0.197286914451233,-0.00271308554876663,0.00381128415613414,0.0617068152961503
"S2","sample_size","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.199616734499186,0.000383265500814202,0.00418996110488682,0.0647611629038837
